id_produit,total_demand,demand_days,avg_demand,demand_frequency,Poids(kg),categorie,demand_score,frequency_score,weight,weight_score,priority_score
31334,20591,228,90.31140350877193,0.017595307917888565,0.0,0,0.0050193056781535385,0.07362958157638663,0.0,1.0,0.2383205824916394
31335,16012,193,82.96373056994818,0.014894273807686372,0.0,MOULURE,0.0039030647505058913,0.06227700291923451,0.0,1.0,0.23230942088476902
31336,21345,238,89.68487394957984,0.018367031949374904,0.0,MOULURE,0.005203111238198598,0.0768731754784301,0.0,1.0,0.23999752111067463
31337,7927,145,54.66896551724138,0.011189998456551936,0.0,MOULURE,0.0019321523460439508,0.04670775218942588,0.0,1.0,0.22393352179852613
31338,26608,237,112.27004219409282,0.01828985954622627,0.0,MOULURE,0.006486093549229296,0.07654881608822575,0.0,1.0,0.24022023610888169
31339,2087,50,41.74,0.0038586201574317023,0.0,MOULURE,0.0005085124645278428,0.01589361012001297,0.0,1.0,0.20809935879936484
31340,358,16,22.375,0.0012347584503781448,0.0,MOULURE,8.702730097624153e-05,0.004865390853065196,0.0,1.0,0.20245880361682547
31341,4524,54,83.77777777777777,0.004167309770026238,0.0,MOULURE,0.0011025895863180405,0.01719104768083036,0.0,1.0,0.2089263007163106
31342,29907,259,115.47104247104247,0.01998765241549622,0.0,MOULURE,0.007290303817914508,0.08368472267272137,0.0,1.0,0.24402945248173505
31343,23239,243,95.63374485596708,0.018752893965118075,0.0,MOULURE,0.0056648191038820754,0.07849497242945183,0.0,1.0,0.24094693194589056
31344,6703,60,111.71666666666667,0.004630344188918043,0.0,MOULURE,0.0016337730284111227,0.019137204022056438,0.0,1.0,0.21005873391955157
31347,2603,24,108.45833333333333,0.0018521376755672172,0.0,MOULURE,0.0006342998239220742,0.007460265974699968,0.0,1.0,0.2039204229345266
31348,1704,19,89.6842105263158,0.001466275659824047,0.0,MOULURE,0.00041514704079142676,0.005838469023678235,0.0,1.0,0.20304377862407655
31349,3803,20,190.15,0.0015434480629726809,0.0,MOULURE,0.0009268285666993567,0.006162828413882582,0.0,1.0,0.2033594627769511
31350,2155,16,134.6875,0.0012347584503781448,0.0,MOULURE,0.0005250890932852221,0.004865390853065196,0.0,1.0,0.20259022215451816
31351,1202,14,85.85714285714286,0.0010804136440808766,0.0,MOULURE,0.0002927725167295969,0.0042166720726565035,0.0,1.0,0.20219616779134714
31352,308,8,38.5,0.0006173792251890724,0.0,MOULURE,7.483860336052143e-05,0.0022705157314304248,0.0,1.0,0.20115770944672337
31353,8925,72,123.95833333333333,0.005556413026701652,0.0,MOULURE,0.002175438750453724,0.023029516704508594,0.0,1.0,0.21216738997739043
31354,9568,70,136.68571428571428,0.005402068220404383,0.0,MOULURE,0.0023321854017918846,0.0223807979240999,0.0,1.0,0.21189005458258753
31355,12637,89,141.98876404494382,0.00686834388022843,0.0,MOULURE,0.0030803276614447843,0.02854362633798248,0.0,1.0,0.2151959114674247
31356,4560,50,91.2,0.0038586201574317023,0.0,MOULURE,0.001111365448601359,0.01589361012001297,0.0,1.0,0.2082802146945869
31357,9614,56,171.67857142857142,0.004321654576323507,0.0,MOULURE,0.002343399003598347,0.01783976646123905,0.0,1.0,0.20962290293169905
31358,2025,20,101.25,0.0015434480629726809,0.0,MOULURE,0.0004933984794843498,0.006162828413882582,0.0,1.0,0.20322943375078661
31360,2789,31,89.96774193548387,0.0023923444976076554,0.0,MOULURE,0.000679641779052553,0.009730781706130393,0.0,1.0,0.205069283386781
31361,1327,29,45.758620689655174,0.0022379996913103875,0.0,MOULURE,0.0003232442607688972,0.0090820629257217,0.0,1.0,0.20463800474109153
31362,903,9,100.33333333333333,0.0006945516283377065,0.0,MOULURE,0.00021988410498759067,0.0025948751216347712,0.0,1.0,0.20136340279231368
31363,602,7,86.0,0.0005402068220404383,0.0,MOULURE,0.00014650814534095563,0.0019461563412260783,0.0,1.0,0.20101703061421533
31364,1262,7,180.28571428571428,0.0005402068220404383,0.0,MOULURE,0.000307398953868461,0.0019461563412260783,0.0,1.0,0.2010652978567736
31365,303,6,50.5,0.0004630344188918043,0.0,MOULURE,7.361973359894942e-05,0.001621796951021732,0.0,1.0,0.20083298439559055
31366,551,6,91.83333333333333,0.0004630344188918043,0.0,MOULURE,0.00013407567377292113,0.001621796951021732,0.0,1.0,0.20085112117764276
31367,93,5,18.6,0.0003858620157431702,0.0,MOULURE,2.242720361292499e-05,0.0012974375608173856,0.0,1.0,0.2006554469414926
31368,25867,33,783.8484848484849,0.0025466893039049238,0.0,MONO ACCESSOIRES,0.006305457050564324,0.010379500486539087,0.0,1.0,0.20708138735843884
31370,2,2,1.0,0.0001543448062972681,0.0,MINI DISJONCTEUR,2.4377395231440207e-07,0.0003243593902043464,0.0,1.0,0.2001622528272879
31371,27131,122,222.38524590163934,0.009415033184133354,0.0,MINI DISJONCTEUR,0.0066135873262897285,0.039247486214725916,0.0,1.0,0.2216078193052499
31372,121,4,30.25,0.0003086896125945362,0.0,MINI DISJONCTEUR,2.9252874277728247e-05,0.0009730781706130392,0.0,1.0,0.20049531494758985
31373,90418,347,260.57060518731987,0.026778823892576013,0.0,MINI DISJONCTEUR,0.022041309446411292,0.11222834901070385,0.0,1.0,0.26272656733927535
31374,11540,62,186.1290322580645,0.004784688995215311,0.0,MINI DISJONCTEUR,0.0028129076357558853,0.01978592280246513,0.0,1.0,0.21073683369195934
31375,12287,70,175.52857142857144,0.005402068220404383,0.0,MINI DISJONCTEUR,0.0029950067781347434,0.0223807979240999,0.0,1.0,0.21208890099549038
